"countrycode","year","num_events","volunteers"
"ARG",2019,4,243
"AUS",2019,1,5
"BGD",2019,1,100
"BEN",2019,1,2328
"BTN",2019,1,5300
"BRA",2019,3,419
"BGR",2019,1,15
"BFA",2019,1,235
"CMR",2019,10,387
"CAN",2019,1,9
"CHN",2019,48,1439
"COL",2019,1,5253
"CIV",2019,1,1500
"CYP",2019,1,30
"ECU",2019,1,455
"Unknown",2019,145,1416
"FRA",2019,1,13
"DEU",2019,2,15
"GHA",2019,3,1100
"HKG",2019,7,67
"IND",2019,4,88
"IDN",2019,32,6850
"IRL",2019,1,1
"ITA",2019,9,175
"JPN",2019,35,1293
"KEN",2019,5,1560
"LVA",2019,1,13
"LUX",2019,1,21
"MYS",2019,1,300
"MDV",2019,1,2
"MEX",2019,7,48
"MNE",2019,1,563
"NGA",2019,14,1648
"NLD",2019,2,827
"PHL",2019,20,3751
"PRT",2019,2,43
"RWA",2019,2,82
"SVN",2019,1,9
"ZAF",2019,2,511
"ESP",2019,12,330
"LKA",2019,2,48
"CHE",2019,6,327
"TWN",2019,2,31318
"TZA",2019,21,103
"THA",2019,5,374
"TUN",2019,1,32
"TUR",2019,4,312
"UKR",2019,7,114
"ARE",2019,1,3
"GBR",2019,1,21
"USA",2019,42,740
"VNM",2019,4,400
