"countrycode","country","continent"
"ARG","Argentina","Americas"
"AUS","Australia","Oceania"
"BGD","Bangladesh","Asia"
"BEN","Benin","Africa"
"BTN","Bhutan","Asia"
"BRA","Brazil","Americas"
"BGR","Bulgaria","Europe"
"BFA","Burkina Faso","Africa"
"CMR","Cameroon","Africa"
"CAN","Canada","Americas"
"CHN","China","Asia"
"COL","Colombia","Americas"
"CIV","Cote D_ivoire","Africa"
"CYP","Cyprus","Asia"
"ECU","Ecuador","Americas"
"Unknown","Empty","Unknown"
"FRA","France","Europe"
"DEU","Germany","Europe"
"GHA","Ghana","Africa"
"HKG","Hong Kong","Asia"
"IND","India","Asia"
"IDN","Indonesia","Asia"
"IRL","Ireland","Europe"
"ITA","Italy","Europe"
"JPN","Japan","Asia"
"KEN","Kenya","Africa"
"LVA","Latvia","Europe"
"LUX","Luxembourg","Europe"
"MYS","Malaysia","Asia"
"MDV","Maldives","Asia"
"MEX","Mexico","Americas"
"MNE","Montenegro","Europe"
"NGA","Nigeria","Africa"
"NLD","Netherlands","Europe"
"PHL","Philippines","Asia"
"PRT","Portugal","Europe"
"RWA","Rwanda","Africa"
"SVN","Slovenia","Europe"
"ZAF","South Africa","Africa"
"ESP","Spain","Europe"
"LKA","Sri Lanka","Asia"
"CHE","Switzerland","Europe"
"TWN","Taiwan_ Republic Of China (Roc)","Asia"
"TZA","Tanzania","Africa"
"THA","Thailand","Asia"
"TUN","Tunisia","Africa"
"TUR","Turkey","Asia"
"UKR","Ukraine","Europe"
"ARE","United Arab Emirates","Asia"
"GBR","United Kingdom","Europe"
"USA","United States","Americas"
"VNM","Vietnam","Asia"
