"continent","plastic_type","n_pieces","total_pieces","rel_freq"
"Americas","hdpe",298,25926,0.011
"Americas","ldpe",246,25926,0.009
"Americas","o",17522,25926,0.676
"Americas","pet",1994,25926,0.077
"Americas","pp",5617,25926,0.217
"Americas","ps",231,25926,0.009
"Americas","pvc",18,25926,0.001
"Oceania","hdpe",0,3,0
"Oceania","ldpe",0,3,0
"Oceania","o",0,3,0
"Oceania","pet",3,3,1
"Oceania","pp",0,3,0
"Oceania","ps",0,3,0
"Oceania","pvc",0,3,0
"Asia","hdpe",2677,204051,0.013
"Asia","ldpe",15364,204051,0.075
"Asia","o",157403,204051,0.771
"Asia","pet",20543,204051,0.101
"Asia","pp",4736,204051,0.023
"Asia","ps",3112,204051,0.015
"Asia","pvc",216,204051,0.001
"Africa","hdpe",4600,112717,0.041
"Africa","ldpe",17349,112717,0.154
"Africa","o",30828,112717,0.273
"Africa","pet",58458,112717,0.519
"Africa","pp",1232,112717,0.011
"Africa","ps",202,112717,0.002
"Africa","pvc",48,112717,0
"Europe","hdpe",210,29579,0.007
"Europe","ldpe",187,29579,0.006
"Europe","o",23135,29579,0.782
"Europe","pet",4813,29579,0.163
"Europe","pp",983,29579,0.033
"Europe","ps",244,29579,0.008
"Europe","pvc",7,29579,0
