"country","year","num_events","volunteers","grand_total","continent","countrycode"
"Argentina",2019,4,243,2668,"Americas","ARG"
"Australia",2019,1,5,3,"Oceania","AUS"
"Bangladesh",2019,1,100,16,"Asia","BGD"
"Benin",2019,1,2328,4988,"Africa","BEN"
"Bhutan",2019,1,5300,3500,"Asia","BTN"
"Brazil",2019,3,419,4734,"Americas","BRA"
"Bulgaria",2019,1,15,8,"Europe","BGR"
"Burkina Faso",2019,1,235,5818,"Africa","BFA"
"Cameroon",2019,10,387,8595,"Africa","CMR"
"Canada",2019,1,9,1,"Americas","CAN"
"China",2019,48,1439,3459,"Asia","CHN"
"Colombia",2019,1,5253,856,"Americas","COL"
"Cote D_ivoire",2019,1,1500,53,"Africa","CIV"
"Cyprus",2019,1,30,24,"Asia","CYP"
"Ecuador",2019,1,455,12715,"Americas","ECU"
"Empty",2019,145,1416,56955,"Unknown","Unknown"
"France",2019,1,13,15,"Europe","FRA"
"Germany",2019,2,15,281,"Europe","DEU"
"Ghana",2019,3,1100,578,"Africa","GHA"
"Hong Kong",2019,7,67,3708,"Asia","HKG"
"India",2019,4,88,2066,"Asia","IND"
"Indonesia",2019,32,6850,13309,"Asia","IDN"
"Ireland",2019,1,1,1,"Europe","IRL"
"Italy",2019,9,175,690,"Europe","ITA"
"Japan",2019,35,1293,84,"Asia","JPN"
"Kenya",2019,5,1560,9494,"Africa","KEN"
"Latvia",2019,1,13,2623,"Europe","LVA"
"Luxembourg",2019,1,21,1,"Europe","LUX"
"Malaysia",2019,1,300,4880,"Asia","MYS"
"Maldives",2019,1,2,26,"Asia","MDV"
"Mexico",2019,7,48,638,"Americas","MEX"
"Montenegro",2019,1,563,4642,"Europe","MNE"
"Nigeria",2019,14,1648,80570,"Africa","NGA"
"Netherlands",2019,2,827,5067,"Europe","NLD"
"Philippines",2019,20,3751,37016,"Asia","PHL"
"Portugal",2019,2,43,1004,"Europe","PRT"
"Rwanda",2019,2,82,413,"Africa","RWA"
"Slovenia",2019,1,9,914,"Europe","SVN"
"South Africa",2019,2,511,905,"Africa","ZAF"
"Spain",2019,12,330,1991,"Europe","ESP"
"Sri Lanka",2019,2,48,3871,"Asia","LKA"
"Switzerland",2019,6,327,7501,"Europe","CHE"
"Taiwan_ Republic Of China (Roc)",2019,2,31318,120646,"Asia","TWN"
"Tanzania",2019,21,103,1263,"Africa","TZA"
"Thailand",2019,5,374,369,"Asia","THA"
"Tunisia",2019,1,32,40,"Africa","TUN"
"Turkey",2019,4,312,178,"Asia","TUR"
"Ukraine",2019,7,114,4838,"Europe","UKR"
"United Arab Emirates",2019,1,3,12,"Asia","ARE"
"United Kingdom",2019,1,21,3,"Europe","GBR"
"United States",2019,42,740,4314,"Americas","USA"
"Vietnam",2019,4,400,10887,"Asia","VNM"
